,Old,Masculine,Baby-faced,Competent,Attractive,Energetic,Well-groomed,Intelligent,Honest,Generous,Trustworthy,Confident,Rich,Dominant
century,-0.0110,0.0163,-0.0154,0.0415,0.0769,-0.0225,0.0371,0.0352,-0.0208,-0.0345,-0.0211,0.0169,0.0572,0.0014
marble,-0.0985,0.0499,0.0258,0.0134,0.0705,-0.0729,0.0604,0.0631,-0.0467,-0.0889,-0.1286,0.0120,0.0560,0.0511
portrait,-0.0129,0.0432,-0.0653,0.1141,0.0509,0.0708,0.1193,0.0932,-0.0327,-0.0592,0.0140,0.0830,0.0768,0.0587
male,0.1413,0.2746,-0.1886,0.1227,0.0385,0.2279,0.0555,0.0579,-0.0134,0.0870,0.0230,0.2767,0.0676,0.2526
head,0.0869,0.0399,-0.1492,0.1317,0.0043,0.0879,0.1318,0.0646,-0.0516,-0.0930,-0.0276,0.0715,0.0919,0.0038
fourth,-0.0688,-0.0144,0.0327,0.0103,0.0516,0.0553,-0.0142,0.0083,-0.0021,-0.0136,0.0378,0.0293,0.0040,-0.0022
unknown,0.0530,0.0056,-0.0665,0.1484,0.0170,0.0695,0.0236,0.1176,0.0521,0.0130,0.0681,0.0675,0.0661,0.0335
bearded,0.2241,0.2802,-0.2537,0.1843,0.0589,0.2288,0.0654,0.1151,0.0569,0.1348,0.0651,0.2982,0.1456,0.2601
man,0.1006,0.2488,-0.2423,0.2242,0.0740,0.1742,0.1856,0.1411,-0.0384,-0.0611,-0.0351,0.2874,0.1791,0.2172
late,0.0097,-0.0087,0.0004,0.0229,0.0448,-0.0225,0.0538,0.0202,-0.0109,-0.0227,-0.0406,0.0130,0.0334,-0.0003
yes,-0.0168,0.1168,-0.0394,0.0867,-0.0040,0.0953,0.0765,0.1062,0.0204,-0.0218,-0.0125,0.1414,0.0612,0.0840
short,0.0926,0.1129,-0.1251,0.0997,0.0197,0.0859,0.0625,0.0891,0.0308,-0.0103,-0.0004,0.1345,0.0633,0.1008
400,-0.0419,0.0398,-0.0064,-0.0119,0.0730,0.0560,0.0062,-0.0256,-0.0150,0.0532,0.0690,0.0407,0.0098,0.0219
early,-0.0520,-0.0517,0.0353,-0.0234,0.0075,0.0008,-0.0142,-0.0326,-0.0579,-0.0534,-0.0357,-0.0318,-0.0326,-0.0228
300,-0.0098,0.0033,-0.0142,0.0674,0.0152,0.0323,0.0562,0.0337,-0.0122,-0.0801,0.0226,0.0823,0.1172,0.0374
